order,font_id,display_name,font_path
67,067_font,아인맘_손글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\아인맘_손글씨\나눔손글씨 아인맘 손글씨.ttf
68,068_font,아줌마_자유,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\아줌마_자유\나눔손글씨 아줌마 자유.ttf
69,069_font,안쌍체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\안쌍체\나눔손글씨 안쌍체.ttf
70,070_font,암스테르담,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\암스테르담\나눔손글씨 암스테르담.ttf
71,071_font,야근하는_김주임,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\야근하는_김주임\나눔손글씨 야근하는 김주임.ttf
72,072_font,야채장수_백금례,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\야채장수_백금례\나눔손글씨 야채장수 백금례.ttf
73,073_font,엄마사랑,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\엄마사랑\나눔손글씨 엄마사랑.ttf
74,074_font,엉겅퀴체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\엉겅퀴체\나눔손글씨 엉겅퀴체.ttf
75,075_font,여름글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\여름글씨\나눔손글씨 여름글씨.ttf
76,076_font,연지체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\연지체\나눔손글씨 연지체.ttf
77,077_font,열아홉의_반짝임,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\열아홉의_반짝임\나눔손글씨 열아홉의 반짝임.ttf
78,078_font,열일체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\열일체\나눔손글씨 열일체.ttf
79,079_font,예당체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\예당체\나눔손글씨 예당체.ttf
80,080_font,예쁜_민경체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\예쁜_민경체\나눔손글씨 예쁜 민경체.ttf
81,081_font,옥비체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\옥비체\나눔손글씨 옥비체.ttf
82,082_font,와일드,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\와일드\나눔손글씨 와일드.ttf
83,083_font,외할머니글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\외할머니글씨\나눔손글씨 외할머니글씨 (1).ttf
84,084_font,왼손잡이도_예뻐,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\왼손잡이도_예뻐\나눔손글씨 왼손잡이도 예뻐 (1).ttf
85,085_font,우리딸_손글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\우리딸_손글씨\나눔손글씨 우리딸 손글씨.ttf
86,086_font,유니_띵땅띵땅,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\유니_띵땅띵땅\나눔손글씨 유니 띵땅띵땅.ttf
87,087_font,의미있는_한글,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\의미있는_한글\나눔손글씨 의미있는 한글.ttf
88,088_font,자부심지우,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\자부심지우\나눔손글씨 자부심지우.ttf
89,089_font,잘하고_있어,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\잘하고_있어\나눔손글씨 잘하고 있어.ttf
90,090_font,장미체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\장미체\나눔손글씨 장미체.ttf
91,091_font,점꼴체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\점꼴체\나눔손글씨 점꼴체.ttf
92,092_font,정은체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\정은체\나눔손글씨 정은체.ttf
93,093_font,중학생,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\중학생\나눔손글씨 중학생.ttf
94,094_font,진주_박경아체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\진주_박경아체\나눔손글씨 진주 박경아체.ttf
95,095_font,철필글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\철필글씨\나눔손글씨 철필글씨.ttf
96,096_font,초딩희망,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\초딩희망\나눔손글씨 초딩희망.ttf
97,097_font,칼국수,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\칼국수\나눔손글씨 칼국수.ttf
98,098_font,코코체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\코코체\나눔손글씨 코코체.ttf
99,099_font,하나되어_손글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\하나되어_손글씨\나눔손글씨 하나되어 손글씨.ttf
100,100_font,하나손글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\하나손글씨\나눔손글씨 하나손글씨.ttf
101,101_font,하람체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\하람체\나눔손글씨 하람체.ttf
102,102_font,한윤체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\한윤체\나눔손글씨 한윤체.ttf
103,103_font,할아버지의나눔,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\할아버지의나눔\나눔손글씨 할아버지의나눔.ttf
104,104_font,행복한_도비,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\행복한_도비\나눔손글씨 행복한 도비.ttf
105,105_font,혁이체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\혁이체\나눔손글씨 혁이체.ttf
106,106_font,효남_늘_화이팅,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\효남_늘_화이팅\나눔손글씨 효남 늘 화이팅.ttf
107,107_font,희망누리,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\희망누리\나눔손글씨 희망누리.ttf
108,108_font,흰꼬리수리,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\흰꼬리수리\나눔손글씨 흰꼬리수리.ttf
109,109_font,힘내라는_말보단,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\힘내라는_말보단\나눔손글씨 힘내라는 말보단.ttf
